Roadway Name,Date,AM,PM
TARGEE ST,2012-01-13,500.0833333333333,649.6666666666666
THROOP AVENUE,2012-01-13,155.875,101.16666666666667
TODT HILL RD,2012-01-13,268.9583333333333,496.83333333333337
TOMPKINS AVE,2012-01-13,233.66666666666666,234.5
TRAVIS AVENUE,2012-01-13,199.375,382.375
UNION AVENUE,2012-01-13,101.54166666666666,0
UNION ST,2012-01-13,127.63888888888887,31.25
VAN BRUNT ST,2012-01-13,140.08333333333334,545.440630164967
VAN DUZER STREET,2012-01-13,301.25,510.5833333333333
VANDERBILT AVE,2012-01-13,192.66666666666669,545.440630164967
VICTORY BOULEVARD,2012-01-13,317.0694444444444,291.65277777777777
WASHINGTON AVE,2012-01-13,71.20833333333334,545.440630164967
WILLOWBROOK ROAD,2012-01-13,33.791666666666664,28.541666666666668
WOODROW ROAD,2012-01-13,113.375,184.375
WOOLLEY AVENUE,2012-01-13,273.375,423.9583333333333
BAY ST,2012-01-14,106.70833333333334,545.440630164967
BEACH STREET,2012-01-14,34.333333333333336,545.440630164967
BRADLEY AVENUE,2012-01-14,123.83333333333333,132.70833333333334
BRIELLE AVENUE,2012-01-14,63.416666666666664,93.25
CASTLETON AVENUE,2012-01-14,119.91666666666666,545.440630164967
CLOVE RD,2012-01-14,139.83333333333334,545.440630164967
Delafield Ave,2012-01-14,37.54166666666667,545.440630164967
Forest Ave,2012-01-14,234.66666666666666,545.440630164967
HYLAN BLVD,2012-01-14,124.25,545.440630164967
LITTLE CLOVE ROAD,2012-01-14,48.79166666666667,545.440630164967
MANOR RD,2012-01-14,130.02083333333334,545.440630164967
NARROWS ROAD SOUTH,2012-01-14,34.166666666666664,545.440630164967
OCEAN TERRACE,2012-01-14,54.291666666666664,545.440630164967
POST AVENUE,2012-01-14,139.95833333333334,545.440630164967
RICHMOND AVENUE,2012-01-14,261.08333333333337,545.440630164967
Richmond Ter,2012-01-14,145.58333333333334,545.440630164967
TARGEE ST,2012-01-14,338.75,545.440630164967
TODT HILL RD,2012-01-14,212.08333333333331,545.440630164967
TRAVIS AVENUE,2012-01-14,163.70833333333334,133.83333333333334
VAN DUZER STREET,2012-01-14,195.20833333333334,545.440630164967
VICTORY BOULEVARD,2012-01-14,140.375,545.440630164967
WILLOWBROOK ROAD,2012-01-14,11.166666666666666,9.666666666666666
WOOLLEY AVENUE,2012-01-14,219.08333333333334,169.70833333333331
3 AVENUE,2012-01-16,357.75,625.25
Ave H,2012-01-16,8.833333333333332,17.458333333333336
MC DONALD AVENUE,2012-01-16,128.8125,245.5
NEW UTRECHT AVENUE,2012-01-16,119.58333333333334,271.29166666666663
4 AVENUE,2012-01-17,584.4166666666667,727.9166666666666
4th Ave,2012-01-17,312.375,468.7916666666667
AMBOY ROAD,2012-01-17,153.95833333333331,220.29166666666669
Ave H,2012-01-17,96.22916666666667,146.3125
BAY RIDGE AVENUE,2012-01-17,47.583333333333336,89.72222222222221
Clarkson Ave,2012-01-17,184.75,260.875
HYLAN BOULEVARD,2012-01-17,603.5,920.375
Hylan Blvd,2012-01-17,272.0416666666667,393.2916666666667
MC DONALD AVENUE,2012-01-17,156.6527777777778,259.8055555555556
NEW LOTS AVENUE,2012-01-17,136.33333333333334,227.20833333333331
NEW UTRECHT AVENUE,2012-01-17,120.70833333333333,226.72916666666669
NEW YORK AVENUE,2012-01-17,137.04166666666669,237.29166666666666
ORIENTAL BOULEVARD,2012-01-17,91.70833333333334,125.45833333333334
REMSEN AVENUE,2012-01-17,184.91666666666666,280.5
Remsen Ave,2012-01-17,378.33333333333337,563.5
